commodity,year,asset,region,installed,technology,supply
CO2f,2030,0,R1,2010,procammonia_1,58700.17830000000
CO2f,2030,1,R1,2010,procammonia_2,29444.94380000000
CO2f,2030,2,R1,2015,procammonia_1,29870.38200000000
CO2f,2030,4,R1,2020,procammonia_1,29773.56230000000
CO2f,2030,6,R1,2025,procammonia_1,29540.22720000000
CO2f,2035,0,R1,2010,procammonia_1,15051.32780000000
CO2f,2035,1,R1,2010,procammonia_2,11237.18450000000
CO2f,2035,2,R1,2015,procammonia_1,29870.38200000000
CO2f,2035,4,R1,2020,procammonia_1,29773.56230000000
CO2f,2035,6,R1,2025,procammonia_1,29540.22720000000
CO2f,2035,8,R1,2030,procammonia_1,63270.20110000000
ammonia,2030,0,R1,2010,procammonia_1,14.08330000000
ammonia,2030,1,R1,2010,procammonia_2,9.46220000000
ammonia,2030,2,R1,2015,procammonia_1,7.22220000000
ammonia,2030,4,R1,2020,procammonia_1,7.25520000000
ammonia,2030,6,R1,2025,procammonia_1,7.25520000000
ammonia,2035,0,R1,2010,procammonia_1,3.61110000000
ammonia,2035,1,R1,2010,procammonia_2,3.61110000000
ammonia,2035,2,R1,2015,procammonia_1,7.22220000000
ammonia,2035,4,R1,2020,procammonia_1,7.25520000000
ammonia,2035,6,R1,2025,procammonia_1,7.25520000000
ammonia,2035,8,R1,2030,procammonia_1,15.66320000000
